candidate_type,candidate_object,candidate_norm,business_document_id,business_title,business_entity_type,business_filepath,merge_status
schema_table,d_nps,nps,IQVIA-ATTRIBUTE-nps-categories,NPS Categories,attribute_definition,30_attributes/iqvia-attribute-nps-categories.md,candidate_review_required
schema_table,d_nps,nps,IQVIA-ATTRIBUTE-nps-scale,NPS Scale,attribute_definition,30_attributes/iqvia-attribute-nps-scale.md,candidate_review_required
schema_table,d_prescription_current,prescription current,IQVIA-ATTRIBUTE-prescription-current,Prescription - Current,attribute_definition,30_attributes/iqvia-attribute-prescription-current.md,candidate_review_required
schema_table,d_prescription_future,prescription future,IQVIA-ATTRIBUTE-prescription-future,Prescription - Future,attribute_definition,30_attributes/iqvia-attribute-prescription-future.md,candidate_review_required
schema_table,d_representing_company,representing company,IQVIA-ATTRIBUTE-representing-company,Representing company,attribute_definition,30_attributes/iqvia-attribute-representing-company.md,candidate_review_required
schema_table,d_specialty,specialty,IQVIA-GLOSSARY-specialty,Specialty,glossary_entry,10_glossary/iqvia-glossary-specialty.md,candidate_review_required
schema_table,d_visit_duration,visit duration,IQVIA-ATTRIBUTE-visit-duration-minutes,Visit Duration (minutes),attribute_definition,30_attributes/iqvia-attribute-visit-duration-minutes.md,candidate_review_required
fact_measure,CONTACT_NUMBER,contact number,IQVIA-MEASURE-contact-number,Contact Number,measure_definition,40_measures/iqvia-measure-contact-number.md,candidate_review_required
fact_measure,MENTIONS,mentions,IQVIA-MEASURE-mentions,Mentions,measure_definition,40_measures/iqvia-measure-mentions.md,candidate_review_required
fact_measure,NON_WEIGHTED_CALLS,non weighted calls,IQVIA-MEASURE-non-weighted-calls,Non-Weighted Calls,measure_definition,40_measures/iqvia-measure-non-weighted-calls.md,candidate_review_required
fact_measure,PRODUCT_DETAILS,product details,IQVIA-MEASURE-product-details,Product Details,measure_definition,40_measures/iqvia-measure-product-details.md,candidate_review_required
fact_measure,QUALITY_INDEX,quality index,IQVIA-MEASURE-quality-index,Quality Index,measure_definition,40_measures/iqvia-measure-quality-index.md,candidate_review_required
fact_measure,WEIGHTED_CALLS,weighted calls,IQVIA-MEASURE-non-weighted-calls,Non-Weighted Calls,measure_definition,40_measures/iqvia-measure-non-weighted-calls.md,candidate_review_required
fact_measure,WEIGHTED_CALLS,weighted calls,IQVIA-MEASURE-weighted-calls,Weighted Calls,measure_definition,40_measures/iqvia-measure-weighted-calls.md,candidate_review_required
oas_caption,Product Details,product details,IQVIA-MEASURE-product-details,Product Details,measure_definition,40_measures/iqvia-measure-product-details.md,candidate_review_required
oas_caption,Contact Number,contact number,IQVIA-MEASURE-contact-number,Contact Number,measure_definition,40_measures/iqvia-measure-contact-number.md,candidate_review_required
oas_caption,Weighted Calls,weighted calls,IQVIA-MEASURE-non-weighted-calls,Non-Weighted Calls,measure_definition,40_measures/iqvia-measure-non-weighted-calls.md,candidate_review_required
oas_caption,Weighted Calls,weighted calls,IQVIA-MEASURE-weighted-calls,Weighted Calls,measure_definition,40_measures/iqvia-measure-weighted-calls.md,candidate_review_required
