catalog_name,schema_name,table_name,full_name,position,column_name,type_name,type_text,nullable,semantic_role
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,0,ATC1_CODE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,1,ATC1,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,2,ATC2_CODE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,3,ATC2,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,4,ATC3_CODE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,5,ATC3,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,6,ATC3_PIE_GROUP,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,7,ATC4_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,8,ATC4_CODE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,9,ATC4,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,10,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_clinical_trial_types,dev_iqvia_catalog.trusted_starschema_01.d_clinical_trial_types,0,CLINICAL_TRIAL_TYPE_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_clinical_trial_types,dev_iqvia_catalog.trusted_starschema_01.d_clinical_trial_types,1,CLINICAL_TRIAL_TYPE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_clinical_trial_types,dev_iqvia_catalog.trusted_starschema_01.d_clinical_trial_types,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_comunication_channels,dev_iqvia_catalog.trusted_starschema_01.d_comunication_channels,0,COMUNICATION_CHANNEL_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_comunication_channels,dev_iqvia_catalog.trusted_starschema_01.d_comunication_channels,1,COMUNICATION_CHANNEL,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_comunication_channels,dev_iqvia_catalog.trusted_starschema_01.d_comunication_channels,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_contact_quality,dev_iqvia_catalog.trusted_starschema_01.d_contact_quality,0,CONTACT_QUALITY_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_contact_quality,dev_iqvia_catalog.trusted_starschema_01.d_contact_quality,1,CONTACT_QUALITY,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_contact_quality,dev_iqvia_catalog.trusted_starschema_01.d_contact_quality,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_contact_types,dev_iqvia_catalog.trusted_starschema_01.d_contact_types,0,CONTACT_TYPE_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_contact_types,dev_iqvia_catalog.trusted_starschema_01.d_contact_types,1,CONTACT_TYPE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_contact_types,dev_iqvia_catalog.trusted_starschema_01.d_contact_types,2,OUR_CONTACT_TYPE,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_contact_types,dev_iqvia_catalog.trusted_starschema_01.d_contact_types,3,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_corporations,dev_iqvia_catalog.trusted_starschema_01.d_corporations,0,CORPORATION_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_corporations,dev_iqvia_catalog.trusted_starschema_01.d_corporations,1,CORPORATION,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_corporations,dev_iqvia_catalog.trusted_starschema_01.d_corporations,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_countries,dev_iqvia_catalog.trusted_starschema_01.d_countries,0,COUNTRY_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_countries,dev_iqvia_catalog.trusted_starschema_01.d_countries,1,COUNTRY,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_countries,dev_iqvia_catalog.trusted_starschema_01.d_countries,2,ISO_COUNTRY_CODE,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_countries,dev_iqvia_catalog.trusted_starschema_01.d_countries,3,REGION,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_countries,dev_iqvia_catalog.trusted_starschema_01.d_countries,4,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_details_duration,dev_iqvia_catalog.trusted_starschema_01.d_details_duration,0,DETAILS_DURATION_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_details_duration,dev_iqvia_catalog.trusted_starschema_01.d_details_duration,1,DETAILS_DURATION,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_details_duration,dev_iqvia_catalog.trusted_starschema_01.d_details_duration,2,DETAILS_DURATION_MIN,INT,int,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_details_duration,dev_iqvia_catalog.trusted_starschema_01.d_details_duration,3,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_international_brands,dev_iqvia_catalog.trusted_starschema_01.d_international_brands,0,INTERNATIONAL_BRAND_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_international_brands,dev_iqvia_catalog.trusted_starschema_01.d_international_brands,1,INTERNATIONAL_BRAND,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_international_brands,dev_iqvia_catalog.trusted_starschema_01.d_international_brands,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_local_brands,dev_iqvia_catalog.trusted_starschema_01.d_local_brands,0,LOCAL_BRAND_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_local_brands,dev_iqvia_catalog.trusted_starschema_01.d_local_brands,1,LOCAL_BRAND,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_local_brands,dev_iqvia_catalog.trusted_starschema_01.d_local_brands,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_manufacturers,dev_iqvia_catalog.trusted_starschema_01.d_manufacturers,0,MANUFACTURER_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_manufacturers,dev_iqvia_catalog.trusted_starschema_01.d_manufacturers,1,MANUFACTURER,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_manufacturers,dev_iqvia_catalog.trusted_starschema_01.d_manufacturers,2,OUR_MANUFACTURER,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_manufacturers,dev_iqvia_catalog.trusted_starschema_01.d_manufacturers,3,MENARINI_FLAG,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_manufacturers,dev_iqvia_catalog.trusted_starschema_01.d_manufacturers,4,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_material_left_abstr_clinical_lit_data,dev_iqvia_catalog.trusted_starschema_01.d_material_left_abstr_clinical_lit_data,0,MATERIAL_LEFT_ABSTR_CLINICAL_LIT_DATA_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_material_left_abstr_clinical_lit_data,dev_iqvia_catalog.trusted_starschema_01.d_material_left_abstr_clinical_lit_data,1,MATERIAL_LEFT_ABSTR_CLINICAL_LIT_DATA,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_material_left_abstr_clinical_lit_data,dev_iqvia_catalog.trusted_starschema_01.d_material_left_abstr_clinical_lit_data,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_material_left_other,dev_iqvia_catalog.trusted_starschema_01.d_material_left_other,0,MATERIAL_LEFT_OTHER_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_material_left_other,dev_iqvia_catalog.trusted_starschema_01.d_material_left_other,1,MATERIAL_LEFT_OTHER,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_material_left_other,dev_iqvia_catalog.trusted_starschema_01.d_material_left_other,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_material_left_patient_educational_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_patient_educational_lit,0,MATERIAL_LEFT_PATIENT_EDUCATIONAL_LIT_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_material_left_patient_educational_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_patient_educational_lit,1,MATERIAL_LEFT_PATIENT_EDUCATIONAL_LIT,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_material_left_patient_educational_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_patient_educational_lit,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_material_left_promotional_product_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_promotional_product_lit,0,MATERIAL_LEFT_PROMOTIONAL_PRODUCT_LIT_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_material_left_promotional_product_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_promotional_product_lit,1,MATERIAL_LEFT_PROMOTIONAL_PRODUCT_LIT,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_material_left_promotional_product_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_promotional_product_lit,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_material_left_samples,dev_iqvia_catalog.trusted_starschema_01.d_material_left_samples,0,MATERIAL_LEFT_SAMPLE_ID,LONG,bigint,False,business_key
