join_status,child_table,child_column,parent_table,parent_column,constraint_name,notes
validated_by_data_missing_metadata,f_channel_dynamic_data,ATC4_ID,d_atcs,ATC4_ID,,Not declared as FK metadata; analysis/final assessment says data validation found zero orphans
declared_metadata_fk,f_channel_dynamic_data,CLINICAL_TRIAL_TYPE_ID,d_clinical_trial_types,CLINICAL_TRIAL_TYPE_ID,f_channel_dynamic_data_d_clinical_trial_types_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,COMUNICATION_CHANNEL_ID,d_comunication_channels,COMUNICATION_CHANNEL_ID,f_channel_dynamic_data_d_comunication_channels_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,CONTACT_QUALITY_ID,d_contact_quality,CONTACT_QUALITY_ID,f_channel_dynamic_data_d_contact_quality_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,CONTACT_TYPE_ID,d_contact_types,CONTACT_TYPE_ID,f_channel_dynamic_data_d_contact_types_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,CORPORATION_ID,d_corporations,CORPORATION_ID,f_channel_dynamic_data_d_corporations_fk,Declared foreign key in Unity Catalog export
validated_by_data_missing_metadata,f_channel_dynamic_data,COUNTRY_ID,d_countries,COUNTRY_ID,,Not declared as FK metadata; analysis/final assessment says data validation found zero orphans
declared_metadata_fk,f_channel_dynamic_data,DETAILS_DURATION_ID,d_details_duration,DETAILS_DURATION_ID,f_channel_dynamic_data_d_details_duration_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,INTERNATIONAL_BRAND_ID,d_international_brands,INTERNATIONAL_BRAND_ID,f_channel_dynamic_data_d_international_brands_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,LOCAL_BRAND_ID,d_local_brands,LOCAL_BRAND_ID,f_channel_dynamic_data_d_local_brands_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,MANUFACTURER_ID,d_manufacturers,MANUFACTURER_ID,f_channel_dynamic_data_d_manufacturers_fk,Declared foreign key in Unity Catalog export
validated_by_data_missing_metadata,f_channel_dynamic_data,MARKET_ID,d_reconstructed_markets,MARKET_ID,,Not declared as FK metadata; analysis/final assessment says data validation found zero orphans
declared_metadata_fk,f_channel_dynamic_data,MATERIAL_LEFT_ABSTR_CLINICAL_LIT_DATA_ID,d_material_left_abstr_clinical_lit_data,MATERIAL_LEFT_ABSTR_CLINICAL_LIT_DATA_ID,f_channel_dynamic_data_d_material_left_abstr_clinical_lit_data_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,MATERIAL_LEFT_OTHER_ID,d_material_left_other,MATERIAL_LEFT_OTHER_ID,f_channel_dynamic_data_d_material_left_other_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,MATERIAL_LEFT_PATIENT_EDUCATIONAL_LIT_ID,d_material_left_patient_educational_lit,MATERIAL_LEFT_PATIENT_EDUCATIONAL_LIT_ID,f_channel_dynamic_data_d_material_left_patient_educational_lit_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,MATERIAL_LEFT_PROMOTIONAL_PRODUCT_LIT_ID,d_material_left_promotional_product_lit,MATERIAL_LEFT_PROMOTIONAL_PRODUCT_LIT_ID,f_channel_dynamic_data_d_material_left_promotional_product_lit_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,MATERIAL_LEFT_SAMPLE_ID,d_material_left_samples,MATERIAL_LEFT_SAMPLE_ID,f_channel_dynamic_data_d_material_left_samples_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,MEETING_TYPE_ID,d_meeting_types,MEETING_TYPE_ID,f_channel_dynamic_data_d_meeting_types_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,MOLECULE_ID,d_molecules,MOLECULE_ID,f_channel_dynamic_data_d_molecules_fk,Declared foreign key in Unity Catalog export
validated_by_data_missing_metadata,f_channel_dynamic_data,MONTH_ID,d_time,MONTH_ID,,Not declared as FK metadata; analysis/final assessment says data validation found zero orphans
validated_by_data_missing_metadata,f_channel_dynamic_data,NPS_SCALE_ID,d_nps,NPS_SCALE_ID,,Not declared as FK metadata; analysis/final assessment says data validation found zero orphans
declared_metadata_fk,f_channel_dynamic_data,PRESCRIPTION_CURRENT_ID,d_prescription_current,PRESCRIPTION_CURRENT_ID,f_channel_dynamic_data_d_prescription_current_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,PRESCRIPTION_FUTURE_ID,d_prescription_future,PRESCRIPTION_FUTURE_ID,f_channel_dynamic_data_d_prescription_future_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,PRESENTATION_POSITION_ID,d_presentation_position,PRESENTATION_POSITION_ID,f_channel_dynamic_data_d_presentation_position_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,PRODUCT_PRESENTED_ID,d_products_presented,PRODUCT_PRESENTED_ID,f_channel_dynamic_data_d_products_presented_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,REPRESENTING_COMPANY_ID,d_representing_company,REPRESENTING_COMPANY_ID,f_channel_dynamic_data_d_representing_company_fk,Declared foreign key in Unity Catalog export
declared_metadata_fk,f_channel_dynamic_data,SPECIALTY_ID,d_specialty,SPECIALTY_ID,f_channel_dynamic_data_d_specialty_fk,Declared foreign key in Unity Catalog export
validated_by_data_missing_metadata,f_channel_dynamic_data,SPONSORING_COMPANY_ID,d_sponsoring_companies,SPONSORING_COMPANY_ID,,Not declared as FK metadata; analysis/final assessment says data validation found zero orphans
declared_metadata_fk,f_channel_dynamic_data,VISIT_DURATION_ID,d_visit_duration,VISIT_DURATION_ID,f_channel_dynamic_data_d_visit_duration_fk,Declared foreign key in Unity Catalog export
