table_name,full_name,table_role,primary_key,row_count,owner,table_type,data_format,source_comment,column_count,id_column_count,measure_columns,storage_path
d_atcs,dev_iqvia_catalog.trusted_starschema_01.d_atcs,dimension,ATC4_ID,1353,ccantamaglia@ext.menarini.com,MANAGED,DELTA,"Atcs Dimension Table - Source Table: ATC1, ATC2, ATC3, ATC3_PIE_GROUPS, ATC4 ",11,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/a09642b3-4703-49d4-9814-829b4316cb8b
d_clinical_trial_types,dev_iqvia_catalog.trusted_starschema_01.d_clinical_trial_types,dimension,CLINICAL_TRIAL_TYPE_ID,45,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/2c67a057-d73a-4c3f-b87c-00d031199c36
d_comunication_channels,dev_iqvia_catalog.trusted_starschema_01.d_comunication_channels,dimension,COMUNICATION_CHANNEL_ID,45,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/927d9103-9586-466c-84f5-232513bed043
d_contact_quality,dev_iqvia_catalog.trusted_starschema_01.d_contact_quality,dimension,CONTACT_QUALITY_ID,25,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/4bf243eb-cce1-42e8-b46f-fedc9063a047
d_contact_types,dev_iqvia_catalog.trusted_starschema_01.d_contact_types,dimension,CONTACT_TYPE_ID,55,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,4,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/13229588-cf3c-4150-a11c-192b7260192f
d_corporations,dev_iqvia_catalog.trusted_starschema_01.d_corporations,dimension,CORPORATION_ID,53125,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/412909e6-6fb0-4260-b12a-c4e8dcd23b1c
d_countries,dev_iqvia_catalog.trusted_starschema_01.d_countries,dimension,COUNTRY_ID,77,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,5,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/bcf45774-d5ab-4ae8-a04d-bec0fd60fe46
d_details_duration,dev_iqvia_catalog.trusted_starschema_01.d_details_duration,dimension,DETAILS_DURATION_ID,303,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,4,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/6452413d-63d6-4c0f-8d74-f06c835fa3ed
d_international_brands,dev_iqvia_catalog.trusted_starschema_01.d_international_brands,dimension,INTERNATIONAL_BRAND_ID,620665,ccantamaglia@ext.menarini.com,MANAGED,DELTA,Internaional Brands Dimension Table - Source Tables: INTERNATIONAL_BRANDS ,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/da0f90f1-5608-4105-9fb2-2cd9bea8b4ae
d_local_brands,dev_iqvia_catalog.trusted_starschema_01.d_local_brands,dimension,LOCAL_BRAND_ID,705155,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/d21a3ea4-be87-42bf-bcd1-6ea4944b302f
